dezena,freq_20,freq_50,freq_100,atraso_draws,atraso_score,bayes_alpha,bayes_beta,bayes_mean,bayes_var,bayes_score
1,1.0,5.0,14.0,0.0,0.0,15.0,95.0,0.13636363636363635,0.0010609783337056065,0.13530265802993074
2,4.0,5.0,7.0,1.0,0.03571428571428571,8.0,102.0,0.07272727272727272,0.0006075496984587894,0.07211972302881393
3,2.0,5.0,9.0,7.0,0.25,10.0,100.0,0.09090909090909091,0.0007445461990916537,0.09016454470999925
4,1.0,5.0,11.0,12.0,0.42857142857142855,12.0,98.0,0.10909090909090909,0.0008755863301317847,0.1082153227607773
5,4.0,6.0,9.0,10.0,0.35714285714285715,10.0,100.0,0.09090909090909091,0.0007445461990916537,0.09016454470999925
6,4.0,9.0,16.0,2.0,0.07142857142857142,17.0,93.0,0.15454545454545454,0.0011771275407639044,0.15336832700469064
7,2.0,4.0,11.0,4.0,0.14285714285714285,12.0,98.0,0.10909090909090909,0.0008755863301317847,0.1082153227607773
8,1.0,5.0,10.0,7.0,0.25,11.0,99.0,0.1,0.0008108108108108108,0.09918918918918919
9,2.0,4.0,16.0,9.0,0.32142857142857145,17.0,93.0,0.15454545454545454,0.0011771275407639044,0.15336832700469064
10,1.0,2.0,12.0,1.0,0.03571428571428571,13.0,97.0,0.11818181818181818,0.0009388727570545753,0.1172429454247636
11,4.0,6.0,9.0,0.0,0.0,10.0,100.0,0.09090909090909091,0.0007445461990916537,0.09016454470999925
12,0.0,1.0,4.0,21.0,0.75,5.0,105.0,0.045454545454545456,0.00039088675452311815,0.04506365870002234
13,1.0,3.0,11.0,5.0,0.17857142857142858,12.0,98.0,0.10909090909090909,0.0008755863301317847,0.1082153227607773
14,3.0,9.0,14.0,3.0,0.10714285714285714,15.0,95.0,0.13636363636363635,0.0010609783337056065,0.13530265802993074
15,1.0,6.0,13.0,2.0,0.07142857142857142,14.0,96.0,0.12727272727272726,0.0010006700915791826,0.1262720571811481
16,3.0,4.0,6.0,2.0,0.07142857142857142,7.0,103.0,0.06363636363636363,0.0005368178095450823,0.06309954582681855
17,4.0,8.0,13.0,7.0,0.25,14.0,96.0,0.12727272727272726,0.0010006700915791826,0.1262720571811481
18,1.0,4.0,10.0,14.0,0.5,11.0,99.0,0.1,0.0008108108108108108,0.09918918918918919
19,3.0,5.0,9.0,3.0,0.10714285714285714,10.0,100.0,0.09090909090909091,0.0007445461990916537,0.09016454470999925
20,0.0,3.0,7.0,21.0,0.75,8.0,102.0,0.07272727272727272,0.0006075496984587894,0.07211972302881393
21,2.0,5.0,10.0,4.0,0.14285714285714285,11.0,99.0,0.1,0.0008108108108108108,0.09918918918918919
22,4.0,7.0,13.0,6.0,0.21428571428571427,14.0,96.0,0.12727272727272726,0.0010006700915791826,0.1262720571811481
23,0.0,6.0,11.0,24.0,0.8571428571428571,12.0,98.0,0.10909090909090909,0.0008755863301317847,0.1082153227607773
24,3.0,5.0,9.0,0.0,0.0,10.0,100.0,0.09090909090909091,0.0007445461990916537,0.09016454470999925
25,2.0,3.0,5.0,1.0,0.03571428571428571,6.0,104.0,0.05454545454545454,0.0004645968282331919,0.05408085771722135
26,2.0,4.0,8.0,12.0,0.42857142857142855,9.0,101.0,0.08181818181818182,0.0006767924949743131,0.08114138932320751
27,4.0,10.0,15.0,9.0,0.32142857142857145,16.0,94.0,0.14545454545454545,0.001119797483433847,0.1443347479711116
28,1.0,6.0,9.0,12.0,0.42857142857142855,10.0,100.0,0.09090909090909091,0.0007445461990916537,0.09016454470999925
29,1.0,4.0,7.0,9.0,0.32142857142857145,8.0,102.0,0.07272727272727272,0.0006075496984587894,0.07211972302881393
30,3.0,7.0,12.0,6.0,0.21428571428571427,13.0,97.0,0.11818181818181818,0.0009388727570545753,0.1172429454247636
31,3.0,7.0,10.0,6.0,0.21428571428571427,11.0,99.0,0.1,0.0008108108108108108,0.09918918918918919
32,2.0,8.0,13.0,10.0,0.35714285714285715,14.0,96.0,0.12727272727272726,0.0010006700915791826,0.1262720571811481
33,4.0,6.0,12.0,0.0,0.0,13.0,97.0,0.11818181818181818,0.0009388727570545753,0.1172429454247636
34,2.0,2.0,5.0,2.0,0.07142857142857142,6.0,104.0,0.05454545454545454,0.0004645968282331919,0.05408085771722135
35,3.0,4.0,10.0,0.0,0.0,11.0,99.0,0.1,0.0008108108108108108,0.09918918918918919
36,1.0,6.0,12.0,18.0,0.6428571428571429,13.0,97.0,0.11818181818181818,0.0009388727570545753,0.1172429454247636
37,0.0,2.0,11.0,26.0,0.9285714285714286,12.0,98.0,0.10909090909090909,0.0008755863301317847,0.1082153227607773
38,0.0,3.0,8.0,22.0,0.7857142857142857,9.0,101.0,0.08181818181818182,0.0006767924949743131,0.08114138932320751
39,2.0,3.0,8.0,5.0,0.17857142857142858,9.0,101.0,0.08181818181818182,0.0006767924949743131,0.08114138932320751
40,2.0,5.0,10.0,15.0,0.5357142857142857,11.0,99.0,0.1,0.0008108108108108108,0.09918918918918919
41,1.0,4.0,6.0,17.0,0.6071428571428571,7.0,103.0,0.06363636363636363,0.0005368178095450823,0.06309954582681855
42,3.0,9.0,16.0,3.0,0.10714285714285714,17.0,93.0,0.15454545454545454,0.0011771275407639044,0.15336832700469064
43,0.0,3.0,7.0,28.0,1.0,8.0,102.0,0.07272727272727272,0.0006075496984587894,0.07211972302881393
44,3.0,6.0,14.0,5.0,0.17857142857142858,15.0,95.0,0.13636363636363635,0.0010609783337056065,0.13530265802993074
45,4.0,7.0,12.0,3.0,0.10714285714285714,13.0,97.0,0.11818181818181818,0.0009388727570545753,0.1172429454247636
46,1.0,3.0,10.0,8.0,0.2857142857142857,11.0,99.0,0.1,0.0008108108108108108,0.09918918918918919
47,3.0,5.0,11.0,2.0,0.07142857142857142,12.0,98.0,0.10909090909090909,0.0008755863301317847,0.1082153227607773
48,2.0,4.0,8.0,3.0,0.10714285714285714,9.0,101.0,0.08181818181818182,0.0006767924949743131,0.08114138932320751
49,2.0,6.0,12.0,5.0,0.17857142857142858,13.0,97.0,0.11818181818181818,0.0009388727570545753,0.1172429454247636
50,0.0,5.0,8.0,23.0,0.8214285714285714,9.0,101.0,0.08181818181818182,0.0006767924949743131,0.08114138932320751
51,1.0,3.0,6.0,1.0,0.03571428571428571,7.0,103.0,0.06363636363636363,0.0005368178095450823,0.06309954582681855
52,1.0,6.0,11.0,13.0,0.4642857142857143,12.0,98.0,0.10909090909090909,0.0008755863301317847,0.1082153227607773
53,1.0,3.0,10.0,14.0,0.5,11.0,99.0,0.1,0.0008108108108108108,0.09918918918918919
54,2.0,3.0,7.0,3.0,0.10714285714285714,8.0,102.0,0.07272727272727272,0.0006075496984587894,0.07211972302881393
55,1.0,3.0,4.0,13.0,0.4642857142857143,5.0,105.0,0.045454545454545456,0.00039088675452311815,0.04506365870002234
56,2.0,3.0,8.0,1.0,0.03571428571428571,9.0,101.0,0.08181818181818182,0.0006767924949743131,0.08114138932320751
57,1.0,2.0,5.0,11.0,0.39285714285714285,6.0,104.0,0.05454545454545454,0.0004645968282331919,0.05408085771722135
58,5.0,12.0,14.0,4.0,0.14285714285714285,15.0,95.0,0.13636363636363635,0.0010609783337056065,0.13530265802993074
59,1.0,3.0,8.0,0.0,0.0,9.0,101.0,0.08181818181818182,0.0006767924949743131,0.08114138932320751
60,3.0,8.0,14.0,6.0,0.21428571428571427,15.0,95.0,0.13636363636363635,0.0010609783337056065,0.13530265802993074
